,purpose,scale,level,timing,sn
10226,NA,NA,NA,NA,Eumyias panayensis
10227,NA,NA,NA,NA,Eumyias additus
10228,NA,NA,NA,NA,Eumyias oscillans
10229,NA,NA,NA,NA,Eumyias stresemanni
10230,NA,NA,NA,NA,Eumyias hyacinthinus
10231,NA,NA,NA,NA,Eumyias hoevelli
10232,NA,NA,NA,NA,Eumyias sanfordi
10233,Food - human,NA,non-trivial,recent,Cyornis nicobaricus
10234,"Pets/display animals, horticulture",NA,non-trivial,recent,Cyornis nicobaricus
10235,"Pets/display animals, horticulture",NA,non-trivial,recent,Cyornis brunneatus
10236,NA,NA,NA,NA,Cyornis olivaceus
10237,NA,NA,NA,NA,Cyornis umbratilis
10238,NA,NA,NA,NA,Cyornis ruficauda
10239,NA,NA,NA,NA,Cyornis colonus
10240,NA,NA,NA,NA,Cyornis pelingensis
10241,NA,NA,NA,NA,Cyornis unicolor
10242,NA,NA,NA,NA,Cyornis ruckii
10243,NA,NA,NA,NA,Cyornis herioti
10244,NA,NA,NA,NA,Cyornis camarinensis
10245,NA,NA,NA,NA,Cyornis pallidipes
10246,NA,NA,NA,NA,Cyornis poliogenys
10247,NA,NA,NA,NA,Cyornis magnirostris
10248,"Pets/display animals, horticulture",international,non-trivial,recent,Cyornis banyumas
10249,NA,NA,NA,NA,Cyornis whitei
10250,NA,NA,NA,NA,Cyornis montanus
10251,"Pets/display animals, horticulture",NA,non-trivial,recent,Cyornis kadayangensis
10252,NA,NA,NA,NA,Cyornis lemprieri
10253,"Pets/display animals, horticulture",international,non-trivial,recent,Cyornis tickelliae
10254,NA,NA,NA,NA,Cyornis sumatrensis
10255,NA,NA,NA,NA,Cyornis caerulatus
10256,NA,NA,NA,NA,Cyornis superbus
10257,Food - human,NA,non-trivial,recent,Cyornis glaucicomans
10258,Food - human,,non-trivial,recent,Cyornis hainanus
10259,"Pets/display animals, horticulture",international,non-trivial,recent,Cyornis hainanus
10260,Food - human,NA,non-trivial,recent,Cyornis rubeculoides
10261,"Pets/display animals, horticulture",NA,non-trivial,recent,Cyornis rubeculoides
10262,"Pets/display animals, horticulture",international,non-trivial,recent,Cyornis turcosus
10263,"Pets/display animals, horticulture",international,non-trivial,recent,Cyornis rufigastra
10264,NA,NA,NA,NA,Cyornis omissus
10265,NA,NA,NA,NA,Cyornis djampeanus
10266,NA,NA,NA,NA,Cyornis concretus
10267,NA,NA,NA,NA,Xenocopsychus ansorgei
10268,"Pets/display animals, horticulture",NA,non-trivial,recent,Dessonornis caffer
10269,NA,NA,NA,NA,Dessonornis mbuluensis
10270,NA,NA,NA,NA,Dessonornis macclounii
10271,NA,NA,NA,NA,Dessonornis anomalus
10272,NA,NA,NA,NA,Dessonornis archeri
10273,NA,NA,NA,NA,Dessonornis humeralis
10274,Food - human,,non-trivial,recent,Erithacus rubecula
10275,"Pets/display animals, horticulture",international,non-trivial,recent,Erithacus rubecula
10276,Sport hunting/specimen collecting,,non-trivial,recent,Erithacus rubecula
10277,NA,NA,NA,NA,Pogonocichla stellata
10278,NA,NA,NA,NA,Cossyphicula isabellae
10279,NA,NA,NA,NA,Cossyphicula roberti
10280,NA,NA,NA,NA,Swynnertonia swynnertoni
10281,NA,NA,NA,NA,Chamaetylas poliophrys
10282,NA,NA,NA,NA,Chamaetylas poliocephala
10283,NA,NA,NA,NA,Chamaetylas fuelleborni
10284,NA,NA,NA,NA,Chamaetylas choloensis
10285,"Pets/display animals, horticulture",international,non-trivial,recent,Cossypha cyanocampter
10286,NA,NA,NA,NA,Cossypha semirufa
10287,NA,NA,NA,NA,Cossypha heuglini
10288,NA,NA,NA,NA,Cossypha natalensis
10289,NA,NA,NA,NA,Cossypha dichroa
10290,"Pets/display animals, horticulture",international,non-trivial,recent,Cossypha heinrichi
10291,NA,NA,NA,NA,Cossypha niveicapilla
10292,NA,NA,NA,NA,Cossypha albicapillus
10293,"Pets/display animals, horticulture",international,non-trivial,recent,Stiphrornis erythrothorax
10294,"Pets/display animals, horticulture",international,non-trivial,recent,Stiphrornis xanthogaster
10295,NA,NA,NA,NA,Stiphrornis pyrrholaemus
10296,NA,NA,NA,NA,Cichladusa arquata
10297,NA,NA,NA,NA,Cichladusa ruficauda
10298,"Pets/display animals, horticulture",international,non-trivial,recent,Cichladusa guttata
10299,NA,NA,NA,NA,Sheppardia montana
10300,NA,NA,NA,NA,Sheppardia lowei
10301,NA,NA,NA,NA,Sheppardia aurantiithorax
10302,NA,NA,NA,NA,Sheppardia gabela
10303,NA,NA,NA,NA,Sheppardia aequatorialis
10304,NA,NA,NA,NA,Sheppardia cyornithopsis
10305,NA,NA,NA,NA,Sheppardia gunningi
10306,NA,NA,NA,NA,Sheppardia sharpei
10307,NA,NA,NA,NA,Sheppardia polioptera
10308,NA,NA,NA,NA,Sheppardia poensis
10309,NA,NA,NA,NA,Sheppardia bocagei
10310,NA,NA,NA,NA,Heinrichia simplex
10311,NA,NA,NA,NA,Heinrichia calligyna
10312,NA,NA,NA,NA,Vauriella gularis
10313,NA,NA,NA,NA,Vauriella albigularis
10314,NA,NA,NA,NA,Vauriella insignis
10315,NA,NA,NA,NA,Vauriella goodfellowi
10316,NA,NA,NA,NA,Heteroxenicus stellatus
10317,NA,NA,NA,NA,Brachypteryx hyperythra
10318,NA,NA,NA,NA,Brachypteryx leucophris
10319,"Pets/display animals, horticulture",international,non-trivial,recent,Brachypteryx cruralis
10320,NA,NA,NA,NA,Brachypteryx sinensis
10321,"Pets/display animals, horticulture",international,non-trivial,recent,Brachypteryx goodfellowi
10322,NA,NA,NA,NA,Brachypteryx poliogyna
10323,"Pets/display animals, horticulture",international,non-trivial,recent,Brachypteryx erythrogyna
10324,NA,NA,NA,NA,Brachypteryx saturata
10325,"Pets/display animals, horticulture",international,non-trivial,recent,Brachypteryx montana
10326,"Pets/display animals, horticulture",international,non-trivial,recent,Brachypteryx floris
10327,"Pets/display animals, horticulture",international,non-trivial,recent,Larvivora ruficeps
10328,"Pets/display animals, horticulture",international,non-trivial,recent,Larvivora brunnea
10329,NA,NA,NA,NA,Larvivora cyane
10330,NA,NA,NA,NA,Larvivora sibilans
10331,Food - human,,non-trivial,recent,Larvivora akahige
10332,"Pets/display animals, horticulture",international,non-trivial,recent,Larvivora akahige
10333,Food - human,NA,non-trivial,recent,Larvivora tanensis
10334,"Pets/display animals, horticulture",NA,non-trivial,recent,Larvivora komadori
10335,"Pets/display animals, horticulture",NA,non-trivial,recent,Larvivora namiyei
10336,NA,NA,NA,NA,Irania gutturalis
10337,"Pets/display animals, horticulture",international,non-trivial,recent,Luscinia phaenicuroides
10338,Food - human,,non-trivial,recent,Luscinia svecica
10339,"Pets/display animals, horticulture",international,non-trivial,recent,Luscinia svecica
10340,Sport hunting/specimen collecting,,non-trivial,recent,Luscinia svecica
10341,Food - human,,non-trivial,recent,Luscinia luscinia
10342,"Pets/display animals, horticulture",international,non-trivial,recent,Luscinia luscinia
10343,Sport hunting/specimen collecting,,non-trivial,recent,Luscinia luscinia
10344,Food - human,,non-trivial,recent,Luscinia megarhynchos
10345,"Pets/display animals, horticulture",international,non-trivial,recent,Luscinia megarhynchos
10346,Sport hunting/specimen collecting,,non-trivial,recent,Luscinia megarhynchos
10347,"Pets/display animals, horticulture",international,non-trivial,recent,Calliope pectardens
10348,"Pets/display animals, horticulture",international,non-trivial,recent,Calliope obscura
10349,NA,NA,NA,NA,Calliope calliope
10350,"Pets/display animals, horticulture",international,non-trivial,recent,Calliope pectoralis
10351,"Pets/display animals, horticulture",international,non-trivial,recent,Calliope tschebaiewi
10352,Food - human,,non-trivial,recent,Myiomela leucura
10353,"Pets/display animals, horticulture",international,non-trivial,recent,Myiomela leucura
10354,NA,NA,NA,NA,Myiomela cambodiana
10355,NA,NA,NA,NA,Myiomela diana
10356,NA,NA,NA,NA,Sholicola albiventris
10357,NA,NA,NA,NA,Tarsiger hyperythrus
10358,NA,NA,NA,NA,Tarsiger cyanurus
10359,NA,NA,NA,NA,Tarsiger rufilatus
10360,NA,NA,NA,NA,Tarsiger indicus
10361,NA,NA,NA,NA,Tarsiger johnstoniae
10362,NA,NA,NA,NA,Tarsiger chrysaeus
10363,NA,NA,NA,NA,Enicurus scouleri
10364,NA,NA,NA,NA,Enicurus schistaceus
10365,NA,NA,NA,NA,Enicurus velatus
10366,NA,NA,NA,NA,Enicurus ruficapillus
10367,NA,NA,NA,NA,Enicurus immaculatus
10368,NA,NA,NA,NA,Enicurus leschenaulti
10369,NA,NA,NA,NA,Enicurus maculatus
10370,NA,NA,NA,NA,Cinclidium frontale
10371,NA,NA,NA,NA,Myophonus blighi
10372,NA,NA,NA,NA,Myophonus melanurus
10373,"Pets/display animals, horticulture",international,non-trivial,recent,Myophonus glaucinus
10374,NA,NA,NA,NA,Myophonus castaneus
10375,NA,NA,NA,NA,Myophonus borneensis
10376,NA,NA,NA,NA,Myophonus robinsoni
10377,NA,NA,NA,NA,Myophonus horsfieldii
10378,NA,NA,NA,NA,Myophonus insularis
10379,NA,NA,NA,NA,Myophonus caeruleus
10380,NA,NA,NA,NA,Ficedula zanthopygia
10381,Food - human,NA,non-trivial,recent,Ficedula elisae
10382,Food - human,,non-trivial,recent,Ficedula narcissina
10383,"Pets/display animals, horticulture",international,non-trivial,recent,Ficedula narcissina
10384,Food - human,,non-trivial,recent,Ficedula owstoni
10385,"Pets/display animals, horticulture",international,non-trivial,recent,Ficedula owstoni
10386,NA,NA,NA,NA,Ficedula mugimaki
10387,NA,NA,NA,NA,Ficedula erithacus
10388,NA,NA,NA,NA,Ficedula tricolor
10389,Food - human,,non-trivial,recent,Ficedula hyperythra
10390,"Pets/display animals, horticulture",international,non-trivial,recent,Ficedula hyperythra
10391,Food - human,NA,non-trivial,recent,Ficedula hodgsoni
10392,"Pets/display animals, horticulture",NA,non-trivial,recent,Ficedula hodgsoni
10393,NA,NA,NA,NA,Ficedula strophiata
10394,NA,NA,NA,NA,Ficedula sapphira
10395,"Pets/display animals, horticulture",international,non-trivial,recent,Ficedula superciliaris
10396,NA,NA,NA,NA,Ficedula westermanni
10397,NA,NA,NA,NA,Ficedula ruficauda
10398,NA,NA,NA,NA,Ficedula parva
10399,NA,NA,NA,NA,Ficedula albicilla
10400,NA,NA,NA,NA,Ficedula subrubra
10401,NA,NA,NA,NA,Ficedula semitorquata
10402,NA,NA,NA,NA,Ficedula hypoleuca
10403,Sport hunting/specimen collecting,NA,non-trivial,recent,Ficedula albicollis
10404,NA,NA,NA,NA,Ficedula henrici
10405,NA,NA,NA,NA,Ficedula rufigula
10406,NA,NA,NA,NA,Ficedula buruensis
10407,NA,NA,NA,NA,Ficedula harterti
10408,NA,NA,NA,NA,Ficedula timorensis
10409,NA,NA,NA,NA,Ficedula basilanica
10410,Food - human,,non-trivial,recent,Ficedula luzoniensis
10411,"Pets/display animals, horticulture",international,non-trivial,recent,Ficedula luzoniensis
10412,NA,NA,NA,NA,Ficedula crypta
10413,NA,NA,NA,NA,Ficedula bonthaina
10414,NA,NA,NA,NA,Ficedula nigrorufa
10415,NA,NA,NA,NA,Ficedula dumetoria
10416,NA,NA,NA,NA,Ficedula riedeli
10417,NA,NA,NA,NA,Ficedula disposita
10418,NA,NA,NA,NA,Ficedula platenae
10419,NA,NA,NA,NA,Phoenicurus alaschanicus
10420,NA,NA,NA,NA,Phoenicurus erythronotus
10421,NA,NA,NA,NA,Phoenicurus frontalis
10422,NA,NA,NA,NA,Phoenicurus coeruleocephala
10423,NA,NA,NA,NA,Phoenicurus schisticeps
10424,NA,NA,NA,NA,Phoenicurus leucocephalus
10425,NA,NA,NA,NA,Phoenicurus fuliginosus
10426,"Pets/display animals, horticulture",international,non-trivial,recent,Phoenicurus bicolor
10427,Food - human,NA,non-trivial,recent,Phoenicurus ochruros
10428,"Pets/display animals, horticulture",NA,non-trivial,recent,Phoenicurus ochruros
10429,Sport hunting/specimen collecting,NA,non-trivial,recent,Phoenicurus ochruros
10430,"Pets/display animals, horticulture",international,non-trivial,recent,Phoenicurus phoenicurus
10431,Sport hunting/specimen collecting,,non-trivial,recent,Phoenicurus phoenicurus
10432,Sport hunting/specimen collecting,NA,non-trivial,recent,Phoenicurus moussieri
10433,NA,NA,NA,NA,Phoenicurus auroreus
10434,"Pets/display animals, horticulture",international,non-trivial,recent,Phoenicurus erythrogastrus
10435,NA,NA,NA,NA,Phoenicurus hodgsoni
10436,"Pets/display animals, horticulture",international,non-trivial,recent,Monticola cinclorhyncha
10437,NA,NA,NA,NA,Monticola rufiventris
10438,NA,NA,NA,NA,Monticola gularis
10439,NA,NA,NA,NA,Monticola brevipes
10440,NA,NA,NA,NA,Monticola explorator
10441,NA,NA,NA,NA,Monticola imerina
10442,NA,NA,NA,NA,Monticola erythronotus
10443,NA,NA,NA,NA,Monticola sharpei
10444,"Pets/display animals, horticulture",international,non-trivial,recent,Monticola saxatilis
10445,NA,NA,NA,NA,Monticola solitarius
10446,NA,NA,NA,NA,Monticola rufocinereus
10447,NA,NA,NA,NA,Monticola semirufus
10448,NA,NA,NA,NA,Monticola angolensis
10449,NA,NA,NA,NA,Monticola rupestris
10450,NA,NA,NA,NA,Saxicola jerdoni
10451,Food - human,NA,non-trivial,recent,Saxicola ferreus
10452,"Pets/display animals, horticulture",NA,non-trivial,recent,Saxicola ferreus
10453,NA,NA,NA,NA,Saxicola gutturalis
10454,NA,NA,NA,NA,Saxicola rubetra
10455,NA,NA,NA,NA,Saxicola macrorhynchus
10456,NA,NA,NA,NA,Saxicola insignis
10457,NA,NA,NA,NA,Saxicola caprata
10458,NA,NA,NA,NA,Saxicola leucurus
10459,"Pets/display animals, horticulture",international,non-trivial,recent,Saxicola dacotiae
10460,Food - human,,non-trivial,recent,Saxicola torquatus
10461,"Pets/display animals, horticulture",international,non-trivial,recent,Saxicola torquatus
10462,NA,NA,NA,NA,Saxicola tectes
10463,NA,NA,NA,NA,Campicoloides bifasciatus
10464,NA,NA,NA,NA,Emarginata schlegelii
10465,NA,NA,NA,NA,Emarginata sinuata
10466,NA,NA,NA,NA,Emarginata tractrac
10467,NA,NA,NA,NA,Pinarochroa sordida
10468,NA,NA,NA,NA,Thamnolaea cinnamomeiventris
10469,NA,NA,NA,NA,Myrmecocichla nigra
10470,NA,NA,NA,NA,Myrmecocichla aethiops
10471,NA,NA,NA,NA,Myrmecocichla tholloni
10472,NA,NA,NA,NA,Myrmecocichla formicivora
10473,NA,NA,NA,NA,Myrmecocichla monticola
10474,NA,NA,NA,NA,Myrmecocichla melaena
10475,NA,NA,NA,NA,Myrmecocichla arnotti
10476,Food - human,NA,non-trivial,recent,Oenanthe oenanthe
10477,Sport hunting/specimen collecting,NA,non-trivial,recent,Oenanthe oenanthe
10478,Food - human,NA,non-trivial,recent,Oenanthe seebohmi
10479,NA,NA,NA,NA,Oenanthe pileata
10480,NA,NA,NA,NA,Oenanthe frenata
10481,NA,NA,NA,NA,Oenanthe bottae
10482,NA,NA,NA,NA,Oenanthe heuglinii
10483,NA,NA,NA,NA,Oenanthe isabellina
10484,NA,NA,NA,NA,Oenanthe monacha
10485,NA,NA,NA,NA,Oenanthe deserti
10486,Sport hunting/specimen collecting,NA,non-trivial,recent,Oenanthe hispanica
10487,"Pets/display animals, horticulture",NA,non-trivial,recent,Oenanthe cypriaca
10488,NA,NA,NA,NA,Oenanthe pleschanka
10489,NA,NA,NA,NA,Oenanthe albifrons
10490,NA,NA,NA,NA,Oenanthe phillipsi
10491,"Pets/display animals, horticulture",international,non-trivial,recent,Oenanthe moesta
10492,NA,NA,NA,NA,Oenanthe melanura
10493,NA,NA,NA,NA,Oenanthe familiaris
10494,NA,NA,NA,NA,Oenanthe scotocerca
10495,NA,NA,NA,NA,Oenanthe dubia
10496,"Pets/display animals, horticulture",international,non-trivial,recent,Oenanthe fusca
10497,NA,NA,NA,NA,Oenanthe picata
10498,NA,NA,NA,NA,Oenanthe leucura
10499,NA,NA,NA,NA,Oenanthe leucopyga
10500,"Pets/display animals, horticulture",international,non-trivial,recent,Oenanthe albonigra
10501,NA,NA,NA,NA,Oenanthe finschii
10502,NA,NA,NA,NA,Oenanthe lugubris
10503,NA,NA,NA,NA,Oenanthe lugens
10504,NA,NA,NA,NA,Oenanthe lugentoides
10505,NA,NA,NA,NA,Oenanthe chrysopygia
10506,NA,NA,NA,NA,Oenanthe xanthoprymna
10507,NA,NA,NA,NA,Pinarornis plumosus
10508,NA,NA,NA,NA,Corthylio calendula
10509,NA,NA,NA,NA,Regulus satrapa
10510,NA,NA,NA,NA,Regulus goodfellowi
10511,"Pets/display animals, horticulture",international,non-trivial,recent,Regulus regulus
10512,"Pets/display animals, horticulture",international,non-trivial,recent,Regulus regulus
10513,Sport hunting/specimen collecting,,non-trivial,recent,Regulus regulus
10514,Sport hunting/specimen collecting,,non-trivial,recent,Regulus regulus
10515,NA,NA,NA,NA,Regulus madeirensis
10516,NA,NA,NA,NA,Regulus ignicapilla
10517,NA,NA,NA,NA,Dulus dominicus
10518,NA,NA,NA,NA,Hypocolius ampelinus
10519,NA,NA,NA,NA,Hylocitrea bonensis
10520,NA,NA,NA,NA,Hylocitrea bonthaina
10521,Food - human,,non-trivial,recent,Bombycilla garrulus
10522,"Pets/display animals, horticulture",international,non-trivial,recent,Bombycilla garrulus
10523,Food - human,,non-trivial,recent,Bombycilla japonica
10524,"Pets/display animals, horticulture",international,non-trivial,recent,Bombycilla japonica
10525,"Pets/display animals, horticulture",international,non-trivial,recent,Bombycilla cedrorum
10526,"Pets/display animals, horticulture",international,non-trivial,recent,Phainoptila melanoxantha
10527,"Pets/display animals, horticulture",international,non-trivial,recent,Phainopepla nitens
10528,"Pets/display animals, horticulture",NA,non-trivial,recent,Ptiliogonys cinereus
10529,NA,NA,NA,NA,Ptiliogonys caudatus
10530,NA,NA,NA,NA,Elachura formosa
10531,NA,NA,NA,NA,Promerops cafer
10532,NA,NA,NA,NA,Promerops gurneyi
10533,NA,NA,NA,NA,Arcanator orostruthus
10534,NA,NA,NA,NA,Modulatrix stictigula
10535,NA,NA,NA,NA,Kakamega poliothorax
10536,Food - human,NA,non-trivial,recent,Irena puella
10537,Food - human,,non-trivial,recent,Irena tweeddalii
10538,"Pets/display animals, horticulture",international,non-trivial,recent,Irena tweeddalii
10539,NA,NA,NA,NA,Irena cyanogastra
10540,"Pets/display animals, horticulture",international,non-trivial,recent,Chloropsis media
10541,Food - human,,non-trivial,recent,Chloropsis sonnerati
10542,"Pets/display animals, horticulture",international,non-trivial,recent,Chloropsis sonnerati
10543,"Pets/display animals, horticulture",international,non-trivial,recent,Chloropsis cyanopogon
10544,NA,NA,NA,NA,Chloropsis palawanensis
10545,NA,NA,NA,NA,Chloropsis flavipennis
10546,NA,NA,NA,NA,Chloropsis aurifrons
10547,"Pets/display animals, horticulture",international,non-trivial,recent,Chloropsis venusta
10548,NA,NA,NA,NA,Chloropsis jerdoni
10549,Food - human,NA,non-trivial,recent,Chloropsis hardwickii
10550,Food - human,NA,non-trivial,recent,Chloropsis lazulina
10551,NA,NA,NA,NA,Chloropsis kinabaluensis
10552,Food - human,NA,non-trivial,recent,Chloropsis moluccensis
10553,Food - human,,non-trivial,recent,Chloropsis cochinchinensis
10554,"Pets/display animals, horticulture",international,non-trivial,recent,Chloropsis cochinchinensis
10555,NA,NA,NA,NA,Prionochilus olivaceus
10556,NA,NA,NA,NA,Prionochilus maculatus
10557,NA,NA,NA,NA,Prionochilus thoracicus
10558,NA,NA,NA,NA,Prionochilus xanthopygius
10559,NA,NA,NA,NA,Prionochilus percussus
10560,NA,NA,NA,NA,Prionochilus plateni
10561,NA,NA,NA,NA,Dicaeum melanozanthum
10562,NA,NA,NA,NA,Dicaeum chrysorrheum
10563,NA,NA,NA,NA,Dicaeum vincens
10564,NA,NA,NA,NA,Dicaeum annae
10565,NA,NA,NA,NA,Dicaeum dayakorum
10566,"Pets/display animals, horticulture",NA,non-trivial,recent,Dicaeum agile
10567,NA,NA,NA,NA,Dicaeum everetti
10568,NA,NA,NA,NA,Dicaeum proprium
10569,NA,NA,NA,NA,Dicaeum anthonyi
10570,NA,NA,NA,NA,Dicaeum kampalili
10571,NA,NA,NA,NA,Dicaeum bicolor
10572,NA,NA,NA,NA,Dicaeum aureolimbatum
10573,NA,NA,NA,NA,Dicaeum trigonostigma
10574,NA,NA,NA,NA,Dicaeum australe
10575,NA,NA,NA,NA,Dicaeum haematostictum
10576,NA,NA,NA,NA,Dicaeum retrocinctum
10577,NA,NA,NA,NA,Dicaeum quadricolor
10578,NA,NA,NA,NA,Dicaeum hypoleucum
10579,NA,NA,NA,NA,Dicaeum nigrilore
10580,NA,NA,NA,NA,Dicaeum erythrorhynchos
10581,NA,NA,NA,NA,Dicaeum concolor
10582,NA,NA,NA,NA,Dicaeum minullum
10583,NA,NA,NA,NA,Dicaeum pygmaeum
10584,NA,NA,NA,NA,Dicaeum nehrkorni
10585,NA,NA,NA,NA,Dicaeum schistaceiceps
10586,NA,NA,NA,NA,Dicaeum erythrothorax
10587,NA,NA,NA,NA,Dicaeum vulneratum
10588,NA,NA,NA,NA,Dicaeum pectorale
10589,NA,NA,NA,NA,Dicaeum sanguinolentum
10590,NA,NA,NA,NA,Dicaeum rhodopygiale
10591,NA,NA,NA,NA,Dicaeum wilhelminae
10592,NA,NA,NA,NA,Dicaeum hanieli
10593,NA,NA,NA,NA,Dicaeum cruentatum
10594,NA,NA,NA,NA,Dicaeum trochileum
10595,NA,NA,NA,NA,Dicaeum igniferum
10596,NA,NA,NA,NA,Dicaeum maugei
10597,NA,NA,NA,NA,Dicaeum celebicum
10598,NA,NA,NA,NA,Dicaeum monticolum
10599,NA,NA,NA,NA,Dicaeum ignipectus
10600,"Pets/display animals, horticulture",NA,non-trivial,recent,Dicaeum cambodianum
10601,"Pets/display animals, horticulture",NA,non-trivial,recent,Dicaeum beccarii
10602,"Pets/display animals, horticulture",NA,non-trivial,recent,Dicaeum luzoniense
10603,NA,NA,NA,NA,Dicaeum aeneum
10604,NA,NA,NA,NA,Dicaeum eximium
10605,NA,NA,NA,NA,Dicaeum tristrami
10606,NA,NA,NA,NA,Dicaeum nitidum
10607,"Pets/display animals, horticulture",international,non-trivial,recent,Dicaeum keiense
10608,NA,NA,NA,NA,Dicaeum ignicolle
10609,NA,NA,NA,NA,Dicaeum hirundinaceum
10610,NA,NA,NA,NA,Dicaeum geelvinkianum
10611,NA,NA,NA,NA,Arachnothera crassirostris
10612,NA,NA,NA,NA,Arachnothera robusta
10613,"Pets/display animals, horticulture",international,non-trivial,recent,Arachnothera longirostra
10614,NA,NA,NA,NA,Arachnothera dilutior
10615,"Pets/display animals, horticulture",international,non-trivial,recent,Arachnothera flammifera
10616,NA,NA,NA,NA,Arachnothera juliae
10617,"Pets/display animals, horticulture",international,non-trivial,recent,Arachnothera clarae
10618,NA,NA,NA,NA,Arachnothera chrysogenys
10619,NA,NA,NA,NA,Arachnothera magna
10620,NA,NA,NA,NA,Arachnothera flavigaster
10621,NA,NA,NA,NA,Arachnothera affinis
10622,NA,NA,NA,NA,Arachnothera modesta
10623,NA,NA,NA,NA,Kurochkinegramma hypogrammica
10624,NA,NA,NA,NA,Chalcoparia singalensis
10625,NA,NA,NA,NA,Deleornis fraseri
10626,NA,NA,NA,NA,Deleornis axillaris
10627,NA,NA,NA,NA,Anthreptes reichenowi
10628,NA,NA,NA,NA,Anthreptes anchietae
10629,NA,NA,NA,NA,Anthreptes simplex
10630,"Pets/display animals, horticulture",international,non-trivial,recent,Anthreptes malacensis
10631,"Pets/display animals, horticulture",international,non-trivial,recent,Anthreptes griseigularis
10632,NA,NA,NA,NA,Anthreptes rhodolaemus
10633,NA,NA,NA,NA,Anthreptes gabonicus
10634,NA,NA,NA,NA,Anthreptes longuemarei
10635,NA,NA,NA,NA,Anthreptes orientalis
10636,NA,NA,NA,NA,Anthreptes neglectus
10637,NA,NA,NA,NA,Anthreptes aurantius
10638,NA,NA,NA,NA,Anthreptes seimundi
10639,"Pets/display animals, horticulture",international,non-trivial,recent,Anthreptes rectirostris
10640,NA,NA,NA,NA,Anthreptes tephrolaemus
10641,NA,NA,NA,NA,Anthreptes rubritorques
10642,NA,NA,NA,NA,Hedydipna collaris
10643,"Pets/display animals, horticulture",international,non-trivial,recent,Hedydipna platura
10644,NA,NA,NA,NA,Hedydipna metallica
10645,"Pets/display animals, horticulture",international,non-trivial,recent,Hedydipna pallidigaster
10646,NA,NA,NA,NA,Anabathmis reichenbachii
10647,"Pets/display animals, horticulture",international,non-trivial,recent,Anabathmis hartlaubii
10648,NA,NA,NA,NA,Anabathmis newtonii
10649,NA,NA,NA,NA,Dreptes thomensis
10650,NA,NA,NA,NA,Anthobaphes violacea
10651,NA,NA,NA,NA,Cyanomitra verticalis
10652,NA,NA,NA,NA,Cyanomitra bannermani
10653,"Pets/display animals, horticulture",international,non-trivial,recent,Cyanomitra cyanolaema
10654,NA,NA,NA,NA,Cyanomitra oritis
10655,"Pets/display animals, horticulture",international,non-trivial,recent,Cyanomitra alinae
10656,"Pets/display animals, horticulture",international,non-trivial,recent,Cyanomitra olivacea
10657,NA,NA,NA,NA,Cyanomitra verreauxii
10658,NA,NA,NA,NA,Chalcomitra adelberti
10659,"Pets/display animals, horticulture",international,non-trivial,recent,Chalcomitra fuliginosa
10660,NA,NA,NA,NA,Chalcomitra rubescens
10661,NA,NA,NA,NA,Chalcomitra amethystina
10662,"Pets/display animals, horticulture",international,non-trivial,recent,Chalcomitra senegalensis
10663,NA,NA,NA,NA,Chalcomitra hunteri
10664,NA,NA,NA,NA,Chalcomitra balfouri
10665,NA,NA,NA,NA,Leptocoma zeylonica
10666,NA,NA,NA,NA,Leptocoma minima
10667,"Pets/display animals, horticulture",international,non-trivial,recent,Leptocoma brasiliana
10668,"Pets/display animals, horticulture",international,non-trivial,recent,Leptocoma sperata
10669,NA,NA,NA,NA,Leptocoma juliae
10670,"Pets/display animals, horticulture",international,non-trivial,recent,Leptocoma aspasia
10671,NA,NA,NA,NA,Leptocoma calcostetha
10672,NA,NA,NA,NA,Nectarinia bocagii
10673,NA,NA,NA,NA,Nectarinia purpureiventris
10674,NA,NA,NA,NA,Nectarinia tacazze
10675,NA,NA,NA,NA,Nectarinia kilimensis
10676,"Pets/display animals, horticulture",international,non-trivial,recent,Nectarinia famosa
10677,NA,NA,NA,NA,Nectarinia johnstoni
10678,"Pets/display animals, horticulture",international,non-trivial,recent,Drepanorhynchus reichenowi
10679,NA,NA,NA,NA,Cinnyris chloropygius
10680,"Pets/display animals, horticulture",international,non-trivial,recent,Cinnyris minullus
10681,NA,NA,NA,NA,Cinnyris gertrudis
10682,NA,NA,NA,NA,Cinnyris manoensis
10683,"Pets/display animals, horticulture",international,non-trivial,recent,Cinnyris chalybeus
10684,NA,NA,NA,NA,Cinnyris neergaardi
10685,"Pets/display animals, horticulture",international,non-trivial,recent,Cinnyris afer
10686,NA,NA,NA,NA,Cinnyris stuhlmanni
10687,NA,NA,NA,NA,Cinnyris prigoginei
10688,"Pets/display animals, horticulture",international,non-trivial,recent,Cinnyris ludovicensis
10689,NA,NA,NA,NA,Cinnyris reichenowi
10690,NA,NA,NA,NA,Cinnyris regius
10691,NA,NA,NA,NA,Cinnyris rockefelleri
10692,NA,NA,NA,NA,Cinnyris mediocris
10693,NA,NA,NA,NA,Cinnyris usambaricus
10694,NA,NA,NA,NA,Cinnyris fuelleborni
10695,NA,NA,NA,NA,Cinnyris moreaui
10696,NA,NA,NA,NA,Cinnyris loveridgei
10697,"Pets/display animals, horticulture",international,non-trivial,recent,Cinnyris pulchellus
10698,NA,NA,NA,NA,Cinnyris melanogastrus
10699,"Pets/display animals, horticulture",international,non-trivial,recent,Cinnyris mariquensis
