,purpose,scale,level,timing,sn
6365,NA,NA,NA,NA,Cotinga nattererii
6366,NA,NA,NA,NA,Cotinga ridgwayi
6367,Other household goods,,non-trivial,recent,Cotinga maculata
6368,"Pets/display animals, horticulture",international,non-trivial,recent,Cotinga maculata
6369,NA,NA,NA,NA,Cotinga cotinga
6370,NA,NA,NA,NA,Porphyrolaema porphyrolaema
6371,NA,NA,NA,NA,Conioptilon mcilhennyi
6372,NA,NA,NA,NA,Gymnoderus foetidus
6373,"Pets/display animals, horticulture",international,non-trivial,recent,Xipholena punicea
6374,NA,NA,NA,NA,Xipholena lamellipennis
6375,Food - human,,non-trivial,recent,Xipholena atropurpurea
6376,"Pets/display animals, horticulture",international,non-trivial,recent,Xipholena atropurpurea
6377,NA,NA,NA,NA,Carpodectes hopkei
6378,NA,NA,NA,NA,Carpodectes antoniae
6379,"Pets/display animals, horticulture",international,non-trivial,recent,Carpodectes nitidus
6380,NA,NA,NA,NA,Oxyruncus cristatus
6381,NA,NA,NA,NA,Onychorhynchus mexicanus
6382,NA,NA,NA,NA,Onychorhynchus occidentalis
6383,NA,NA,NA,NA,Onychorhynchus coronatus
6384,NA,NA,NA,NA,Onychorhynchus swainsoni
6385,NA,NA,NA,NA,Terenotriccus erythrurus
6386,NA,NA,NA,NA,Myiobius villosus
6387,NA,NA,NA,NA,Myiobius sulphureipygius
6388,NA,NA,NA,NA,Myiobius barbatus
6389,NA,NA,NA,NA,Myiobius atricaudus
6390,NA,NA,NA,NA,Iodopleura isabellae
6391,NA,NA,NA,NA,Iodopleura fusca
6392,NA,NA,NA,NA,Iodopleura pipra
6393,NA,NA,NA,NA,Tityra inquisitor
6394,NA,NA,NA,NA,Tityra cayana
6395,"Pets/display animals, horticulture",international,non-trivial,recent,Tityra braziliensis
6396,NA,NA,NA,NA,Tityra semifasciata
6397,NA,NA,NA,NA,Tityra leucura
6398,NA,NA,NA,NA,Xenopsaris albinucha
6399,NA,NA,NA,NA,Pachyramphus versicolor
6400,NA,NA,NA,NA,Pachyramphus xanthogenys
6401,NA,NA,NA,NA,Pachyramphus griseigularis
6402,NA,NA,NA,NA,Pachyramphus viridis
6403,NA,NA,NA,NA,Pachyramphus spodiurus
6404,NA,NA,NA,NA,Pachyramphus rufus
6405,NA,NA,NA,NA,Pachyramphus minor
6406,NA,NA,NA,NA,Pachyramphus aglaiae
6407,NA,NA,NA,NA,Pachyramphus niger
6408,NA,NA,NA,NA,Pachyramphus homochrous
6409,NA,NA,NA,NA,Pachyramphus validus
6410,NA,NA,NA,NA,Pachyramphus surinamus
6411,NA,NA,NA,NA,Pachyramphus cinnamomeus
6412,NA,NA,NA,NA,Pachyramphus castaneus
6413,NA,NA,NA,NA,Pachyramphus uropygialis
6414,NA,NA,NA,NA,Pachyramphus major
6415,NA,NA,NA,NA,Pachyramphus marginatus
6416,NA,NA,NA,NA,Pachyramphus polychopterus
6417,NA,NA,NA,NA,Pachyramphus albogriseus
6418,NA,NA,NA,NA,Schiffornis major
6419,NA,NA,NA,NA,Schiffornis virescens
6420,NA,NA,NA,NA,Schiffornis olivacea
6421,NA,NA,NA,NA,Schiffornis stenorhyncha
6422,NA,NA,NA,NA,Schiffornis turdina
6423,NA,NA,NA,NA,Schiffornis aenea
6424,NA,NA,NA,NA,Schiffornis veraepacis
6425,NA,NA,NA,NA,Laniocera rufescens
6426,NA,NA,NA,NA,Laniocera hypopyrra
6427,NA,NA,NA,NA,Laniisoma buckleyi
